General happiness,Gss year for this respondent                       
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Not too happy,1972
Pretty happy,1972
Pretty happy,1972
Very happy,1972
Pretty happy,1972
Pretty happy,1972
Very happy,1972
Pretty happy,1972
Pretty happy,1972
Very happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Not too happy,1972
Very happy,1972
Pretty happy,1972
Not too happy,1972
Pretty happy,1972
Very happy,1972
Not too happy,1972
Not too happy,1972
Very happy,1972
Pretty happy,1972
Very happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Very happy,1972
Pretty happy,1972
Not too happy,1972
Pretty happy,1972
Pretty happy,1972
Not too happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Very happy,1972
Very happy,1972
Very happy,1972
Pretty happy,1972
Pretty happy,1972
Very happy,1972
Very happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Not too happy,1972
Very happy,1972
Pretty happy,1972
Very happy,1972
Pretty happy,1972
Very happy,1972
Very happy,1972
Very happy,1972
Pretty happy,1972
Very happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Very happy,1972
Very happy,1972
Pretty happy,1972
Not too happy,1972
Pretty happy,1972
Not too happy,1972
No answer,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Very happy,1972
Pretty happy,1972
Very happy,1972
Very happy,1972
Pretty happy,1972
Very happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Very happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Not too happy,1972
Pretty happy,1972
Pretty happy,1972
Not too happy,1972
Pretty happy,1972
Pretty happy,1972
Very happy,1972
Not too happy,1972
Pretty happy,1972
Very happy,1972
Not too happy,1972
Very happy,1972
Very happy,1972
Very happy,1972
Pretty happy,1972
Pretty happy,1972
Very happy,1972
Pretty happy,1972
Very happy,1972
Pretty happy,1972
Very happy,1972
Very happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Very happy,1972
Very happy,1972
Pretty happy,1972
Pretty happy,1972
Very happy,1972
Not too happy,1972
Very happy,1972
Pretty happy,1972
Very happy,1972
Very happy,1972
Very happy,1972
Very happy,1972
Pretty happy,1972
Pretty happy,1972
Not too happy,1972
Not too happy,1972
Very happy,1972
Very happy,1972
Very happy,1972
Very happy,1972
Pretty happy,1972
Very happy,1972
Pretty happy,1972
Not too happy,1972
Very happy,1972
Pretty happy,1972
Very happy,1972
Pretty happy,1972
Pretty happy,1972
Not too happy,1972
Very happy,1972
Very happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Very happy,1972
Very happy,1972
Very happy,1972
Very happy,1972
Very happy,1972
Not too happy,1972
Not too happy,1972
Pretty happy,1972
Very happy,1972
Pretty happy,1972
Pretty happy,1972
Very happy,1972
Pretty happy,1972
Not too happy,1972
Pretty happy,1972
Very happy,1972
Not too happy,1972
Pretty happy,1972
Not too happy,1972
Pretty happy,1972
Pretty happy,1972
Very happy,1972
Not too happy,1972
Pretty happy,1972
Very happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Very happy,1972
Very happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Very happy,1972
Not too happy,1972
Pretty happy,1972
Pretty happy,1972
Not too happy,1972
Pretty happy,1972
Not too happy,1972
Pretty happy,1972
Pretty happy,1972
Very happy,1972
Pretty happy,1972
Pretty happy,1972
Not too happy,1972
Pretty happy,1972
Not too happy,1972
Pretty happy,1972
Very happy,1972
Pretty happy,1972
Pretty happy,1972
Not too happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Not too happy,1972
Very happy,1972
Very happy,1972
Very happy,1972
Very happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Very happy,1972
Very happy,1972
Pretty happy,1972
Pretty happy,1972
Very happy,1972
Not too happy,1972
Very happy,1972
Pretty happy,1972
Very happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Very happy,1972
Very happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Not too happy,1972
Very happy,1972
Very happy,1972
Pretty happy,1972
Pretty happy,1972
Very happy,1972
Very happy,1972
Pretty happy,1972
Very happy,1972
Not too happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Very happy,1972
Very happy,1972
Pretty happy,1972
Very happy,1972
Pretty happy,1972
Very happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Not too happy,1972
Pretty happy,1972
Very happy,1972
Not too happy,1972
Very happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Not too happy,1972
Pretty happy,1972
Not too happy,1972
Pretty happy,1972
Not too happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Very happy,1972
Very happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Very happy,1972
Pretty happy,1972
Not too happy,1972
Not too happy,1972
Pretty happy,1972
Very happy,1972
Very happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Not too happy,1972
Very happy,1972
Very happy,1972
Not too happy,1972
Not too happy,1972
Not too happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Very happy,1972
Pretty happy,1972
Not too happy,1972
Pretty happy,1972
Pretty happy,1972
Not too happy,1972
Pretty happy,1972
Not too happy,1972
Very happy,1972
Pretty happy,1972
Very happy,1972
Not too happy,1972
Pretty happy,1972
Pretty happy,1972
Very happy,1972
Not too happy,1972
Pretty happy,1972
Very happy,1972
Very happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Not too happy,1972
Pretty happy,1972
Not too happy,1972
Not too happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Not too happy,1972
Very happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Very happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Very happy,1972
Very happy,1972
Very happy,1972
Pretty happy,1972
Very happy,1972
Very happy,1972
Very happy,1972
Pretty happy,1972
Very happy,1972
Pretty happy,1972
Very happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Very happy,1972
Very happy,1972
Not too happy,1972
Very happy,1972
Very happy,1972
Very happy,1972
Very happy,1972
Pretty happy,1972
Not too happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Very happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Not too happy,1972
Not too happy,1972
Not too happy,1972
Not too happy,1972
Not too happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Not too happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Not too happy,1972
Very happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Not too happy,1972
Very happy,1972
Very happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Not too happy,1972
Very happy,1972
Pretty happy,1972
Very happy,1972
Not too happy,1972
Pretty happy,1972
Very happy,1972
Pretty happy,1972
Pretty happy,1972
Very happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Very happy,1972
Not too happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Very happy,1972
Very happy,1972
Very happy,1972
Very happy,1972
Very happy,1972
Pretty happy,1972
Very happy,1972
Not too happy,1972
Very happy,1972
Not too happy,1972
Very happy,1972
Very happy,1972
Very happy,1972
Pretty happy,1972
Very happy,1972
Very happy,1972
Pretty happy,1972
Very happy,1972
Not too happy,1972
Pretty happy,1972
Very happy,1972
Very happy,1972
Not too happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Very happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Very happy,1972
Pretty happy,1972
Very happy,1972
Pretty happy,1972
Pretty happy,1972
Very happy,1972
Not too happy,1972
Pretty happy,1972
Not too happy,1972
Not too happy,1972
Pretty happy,1972
Not too happy,1972
Not too happy,1972
No answer,1972
Pretty happy,1972
Pretty happy,1972
No answer,1972
No answer,1972
Pretty happy,1972
Very happy,1972
Very happy,1972
Pretty happy,1972
Not too happy,1972
Not too happy,1972
Pretty happy,1972
Very happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Very happy,1972
Pretty happy,1972
Pretty happy,1972
Not too happy,1972
Pretty happy,1972
Pretty happy,1972
Very happy,1972
Pretty happy,1972
Very happy,1972
Very happy,1972
Pretty happy,1972
Pretty happy,1972
Very happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Not too happy,1972
Pretty happy,1972
Very happy,1972
Pretty happy,1972
Pretty happy,1972
Not too happy,1972
Not too happy,1972
Pretty happy,1972
Pretty happy,1972
Very happy,1972
Not too happy,1972
Not too happy,1972
Not too happy,1972
Not too happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Not too happy,1972
Pretty happy,1972
Not too happy,1972
Pretty happy,1972
Pretty happy,1972
Not too happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Not too happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Very happy,1972
Pretty happy,1972
Very happy,1972
Very happy,1972
Very happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Not too happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Not too happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Not too happy,1972
Pretty happy,1972
Very happy,1972
Pretty happy,1972
Very happy,1972
Pretty happy,1972
Very happy,1972
Very happy,1972
Very happy,1972
Pretty happy,1972
Very happy,1972
Very happy,1972
Pretty happy,1972
Very happy,1972
Very happy,1972
Very happy,1972
Very happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Very happy,1972
Not too happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Not too happy,1972
Very happy,1972
Pretty happy,1972
Very happy,1972
Pretty happy,1972
Pretty happy,1972
Very happy,1972
Pretty happy,1972
Not too happy,1972
Pretty happy,1972
Very happy,1972
Not too happy,1972
Very happy,1972
Very happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Very happy,1972
Pretty happy,1972
Pretty happy,1972
Not too happy,1972
Very happy,1972
Very happy,1972
Pretty happy,1972
Very happy,1972
Pretty happy,1972
Very happy,1972
Pretty happy,1972
Very happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Very happy,1972
Pretty happy,1972
Pretty happy,1972
Very happy,1972
Pretty happy,1972
Not too happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Very happy,1972
Pretty happy,1972
Not too happy,1972
Not too happy,1972
Very happy,1972
Pretty happy,1972
Pretty happy,1972
Very happy,1972
Pretty happy,1972
Not too happy,1972
Very happy,1972
Very happy,1972
Very happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Very happy,1972
Pretty happy,1972
Not too happy,1972
Not too happy,1972
Pretty happy,1972
Pretty happy,1972
Very happy,1972
Pretty happy,1972
Pretty happy,1972
Very happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Very happy,1972
Very happy,1972
Not too happy,1972
Not too happy,1972
Very happy,1972
Pretty happy,1972
Pretty happy,1972
Not too happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Not too happy,1972
Pretty happy,1972
Very happy,1972
Pretty happy,1972
Very happy,1972
Very happy,1972
Pretty happy,1972
Not too happy,1972
Pretty happy,1972
Very happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Not too happy,1972
Pretty happy,1972
Very happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Not too happy,1972
Pretty happy,1972
Pretty happy,1972
Very happy,1972
Very happy,1972
Pretty happy,1972
Pretty happy,1972
Very happy,1972
Not too happy,1972
Very happy,1972
Not too happy,1972
Very happy,1972
Very happy,1972
Very happy,1972
Pretty happy,1972
Very happy,1972
Pretty happy,1972
Pretty happy,1972
Very happy,1972
Very happy,1972
Not too happy,1972
Pretty happy,1972
Very happy,1972
Very happy,1972
Very happy,1972
Pretty happy,1972
Very happy,1972
Pretty happy,1972
Very happy,1972
Not too happy,1972
Very happy,1972
Pretty happy,1972
Very happy,1972
Very happy,1972
Pretty happy,1972
Pretty happy,1972
Not too happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Not too happy,1972
Pretty happy,1972
Pretty happy,1972
Not too happy,1972
Not too happy,1972
Very happy,1972
Not too happy,1972
Not too happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Not too happy,1972
Pretty happy,1972
Very happy,1972
Very happy,1972
Pretty happy,1972
Very happy,1972
Not too happy,1972
Not too happy,1972
Pretty happy,1972
Not too happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Very happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Not too happy,1972
Not too happy,1972
Not too happy,1972
Very happy,1972
Very happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Very happy,1972
Very happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Not too happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Very happy,1972
Very happy,1972
Very happy,1972
Very happy,1972
Pretty happy,1972
Pretty happy,1972
Not too happy,1972
Very happy,1972
Pretty happy,1972
Not too happy,1972
Very happy,1972
Not too happy,1972
Very happy,1972
Very happy,1972
Pretty happy,1972
Pretty happy,1972
Not too happy,1972
Pretty happy,1972
Pretty happy,1972
Not too happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Very happy,1972
Pretty happy,1972
Not too happy,1972
Not too happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Very happy,1972
Pretty happy,1972
Pretty happy,1972
Not too happy,1972
Pretty happy,1972
Pretty happy,1972
Very happy,1972
Not too happy,1972
Very happy,1972
Not too happy,1972
Pretty happy,1972
Very happy,1972
Very happy,1972
Very happy,1972
Pretty happy,1972
Very happy,1972
Pretty happy,1972
Pretty happy,1972
Not too happy,1972
Not too happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Very happy,1972
Very happy,1972
Very happy,1972
Very happy,1972
Pretty happy,1972
Very happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Not too happy,1972
Not too happy,1972
Pretty happy,1972
Very happy,1972
Not too happy,1972
Very happy,1972
Very happy,1972
Pretty happy,1972
Pretty happy,1972
Very happy,1972
Pretty happy,1972
Very happy,1972
Very happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Very happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Very happy,1972
Pretty happy,1972
Pretty happy,1972
Not too happy,1972
Pretty happy,1972
Very happy,1972
Very happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Very happy,1972
Pretty happy,1972
Very happy,1972
Pretty happy,1972
Not too happy,1972
Very happy,1972
Very happy,1972
Very happy,1972
Pretty happy,1972
Very happy,1972
Not too happy,1972
Very happy,1972
Very happy,1972
Not too happy,1972
Pretty happy,1972
Not too happy,1972
Very happy,1972
Pretty happy,1972
Very happy,1972
Very happy,1972
Not too happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Not too happy,1972
Not too happy,1972
Pretty happy,1972
Pretty happy,1972
Very happy,1972
Very happy,1972
Pretty happy,1972
Very happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Very happy,1972
Pretty happy,1972
Pretty happy,1972
Very happy,1972
Pretty happy,1972
Not too happy,1972
Very happy,1972
Not too happy,1972
Not too happy,1972
Very happy,1972
Pretty happy,1972
Very happy,1972
Very happy,1972
Not too happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Not too happy,1972
Very happy,1972
Not too happy,1972
Pretty happy,1972
Pretty happy,1972
Not too happy,1972
Not too happy,1972
Pretty happy,1972
Pretty happy,1972
No answer,1972
Pretty happy,1972
Pretty happy,1972
Not too happy,1972
Pretty happy,1972
Very happy,1972
Pretty happy,1972
Not too happy,1972
Not too happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Very happy,1972
Pretty happy,1972
Pretty happy,1972
Very happy,1972
Pretty happy,1972
Pretty happy,1972
Not too happy,1972
Pretty happy,1972
Pretty happy,1972
Very happy,1972
Not too happy,1972
Not too happy,1972
Not too happy,1972
Pretty happy,1972
Not too happy,1972
Very happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Not too happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Very happy,1972
Very happy,1972
Very happy,1972
Pretty happy,1972
Very happy,1972
Not too happy,1972
Not too happy,1972
Very happy,1972
Pretty happy,1972
Pretty happy,1972
No answer,1972
Pretty happy,1972
Not too happy,1972
Very happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Not too happy,1972
Pretty happy,1972
Very happy,1972
Pretty happy,1972
Very happy,1972
Very happy,1972
Very happy,1972
Pretty happy,1972
Pretty happy,1972
Very happy,1972
Pretty happy,1972
Very happy,1972
Pretty happy,1972
Very happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Very happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Not too happy,1972
Pretty happy,1972
Pretty happy,1972
Very happy,1972
Pretty happy,1972
Pretty happy,1972
Very happy,1972
Very happy,1972
Pretty happy,1972
Pretty happy,1972
Very happy,1972
Pretty happy,1972
Pretty happy,1972
Very happy,1972
Not too happy,1972
Pretty happy,1972
Pretty happy,1972
Not too happy,1972
Pretty happy,1972
Very happy,1972
Pretty happy,1972
Very happy,1972
Pretty happy,1972
Not too happy,1972
Not too happy,1972
Not too happy,1972
Very happy,1972
Very happy,1972
Very happy,1972
Not too happy,1972
Pretty happy,1972
Pretty happy,1972
Not too happy,1972
Not too happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Very happy,1972
Very happy,1972
Not too happy,1972
Very happy,1972
Not too happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Not too happy,1972
Pretty happy,1972
Very happy,1972
Not too happy,1972
Pretty happy,1972
No answer,1972
Pretty happy,1972
Very happy,1972
Pretty happy,1972
Very happy,1972
Pretty happy,1972
Very happy,1972
Not too happy,1972
Very happy,1972
Very happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Very happy,1972
Very happy,1972
Not too happy,1972
Very happy,1972
Very happy,1972
Very happy,1972
Not too happy,1972
Not too happy,1972
Very happy,1972
Not too happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Very happy,1972
Pretty happy,1972
Pretty happy,1972
Not too happy,1972
Very happy,1972
Pretty happy,1972
Very happy,1972
Not too happy,1972
Pretty happy,1972
Not too happy,1972
Not too happy,1972
Not too happy,1972
Not too happy,1972
Not too happy,1972
Pretty happy,1972
Pretty happy,1972
Very happy,1972
